path,access,source,router,handler
/system/info/getUsageInfo,authenticated,system.info.go:112,router,InfoHandleTaskInfo
/system/info/ifconfig,authenticated,system.info.go:83,router,info.Ifconfig
/system/info/license,public,system.go:76,http,systemHandleListLicense
/system/info/usbPorts,authenticated,system.info.go:85,router,info.GetUSB
/system/info/wallpaper.jpg,public,system.info.go:135,http,"func(w http.ResponseWriter, r *http.Request"
/system/installer/alpnas/start,authenticated,installer_alpnas.go:73,authRouter,alpnasHandleInstallerStart
/system/installer/alpnas/state,authenticated,installer_alpnas.go:71,authRouter,alpnasHandleInstallerState
/system/installer/alpnas/targets,authenticated,installer_alpnas.go:72,authRouter,alpnasHandleInstallerTargets
/system/iot/execute,authenticated,iot.go:77,router,iotManager.HandleExecute
/system/iot/icon,authenticated,iot.go:78,router,iotManager.HandleIconLoad
/system/iot/list,authenticated,iot.go:75,router,iotManager.HandleListing
/system/iot/listScanner,admin,iot.go:82,adminRouter,iotManager.HandleScannerList
/system/iot/nickname,authenticated,iot.go:79,router,iotManager.HandleNickName
/system/iot/scan,authenticated,iot.go:74,router,iotManager.HandleScanning
/system/iot/status,authenticated,iot.go:76,router,iotManager.HandleGetDeviceStatus
/system/log/list,admin,system.info.go:193,adminRouter,logViewer.HandleListLog
/system/log/read,admin,system.info.go:194,adminRouter,logViewer.HandleReadLog
/system/module/install,authenticated,module.go:148,router,HandleModuleInstall
/system/modules/getDefault,public,module.go:34,http,"func(w http.ResponseWriter, r *http.Request"
/system/modules/getLaunchPara,public,module.go:37,http,"func(w http.ResponseWriter, r *http.Request"
/system/modules/installViaZip,public,module.go:47,http,"func(w http.ResponseWriter, r *http.Request"
/system/modules/list,public,module.go:31,http,"func(w http.ResponseWriter, r *http.Request"
/system/modules/reload,admin,module.go:41,adminRouter,"func(w http.ResponseWriter, r *http.Request"
/system/network/connectWifi,authenticated,wifi.go:43,router,network_wifi_handleConnect
/system/network/getNICUsage,authenticated,network.go:76,router,netstat.HandleGetNetworkInterfaceStats
